Res R number,Reservoir name,Reservoir risk designation
RES/R/1128359,Loch Evelix,Medium
RES/R/1128460,Loch Fad,High
RES/R/1127901,Loch Fadagoa,Low
RES/R/1127921,Loch Fasgro,High
RES/R/1128185,Loch Faskally,High
RES/R/1128360,Loch Fern,High
RES/R/1127953,Loch Finlas,High
RES/R/1127857,Loch Finlas Alexandria (Luss),High
RES/R/1128198,Loch Finnart,High
RES/R/1128361,Loch Forslan,High
RES/R/1128293,Loch Fyn,High
RES/R/1128362,Loch Gaineamhach Reservoir,Medium
RES/R/1156596,Loch Gainmheach,
RES/R/1128363,Loch Garbhaig,High
RES/R/1128168,Loch Garry Reservoir,High
RES/R/1127858,Loch Gearach,High
RES/R/1127902,Loch Gisla,High
RES/R/1127859,Loch Glashan,High
RES/R/1128058,Loch Glass,High
RES/R/1127860,Loch Gleann,High
RES/R/1128364,Loch Glenamour,High
RES/R/1127995,Loch Glow,High
RES/R/1127954,Loch Goin,High
RES/R/1127903,Loch Grunavat,Medium
RES/R/1127937,Loch Harrow,High
RES/R/1127904,Loch Hatravat,Medium
RES/R/1128424,Loch Hempriggs,High
RES/R/1128059,Loch Horn,High
RES/R/1128186,Loch Horn,High
RES/R/1128294,Loch Humphrey,High
RES/R/1127861,Loch Iarnan,High
RES/R/1127905,Loch Iarras,Low
RES/R/1127906,Loch Ionadagro,Medium
RES/R/1128276,Loch Katrine,High
RES/R/1127931,Loch Ken,High
RES/R/1128365,Loch Kirkaldy,Low
RES/R/1127907,Loch Lacasdale,Low
RES/R/1128366,Loch Laggan,High
RES/R/1128475,Loch Lannsaidh,High
RES/R/1128060,Loch Laoigh,High
RES/R/1127862,Loch Leacann,High
RES/R/1127818,Loch Lee,High
RES/R/1128425,Loch Leosaid,Medium
RES/R/1128304,Loch Lochy,High
RES/R/1128295,Loch Lomond,High
RES/R/1128061,Loch Luichart,High
RES/R/1128062,Loch Lundie Reservoir,High
RES/R/1128063,Loch Lunndaidh,High
RES/R/1128426,Loch Lyoch,High
RES/R/1127935,Loch Mannoch,High
RES/R/1127938,Loch Mannoch,High
RES/R/1128064,Loch Meadaidh,High
RES/R/1128065,Loch Meall Ardruighe,High
RES/R/1128367,Loch Meallbrodden,High
RES/R/1127908,Loch Mhic Gille-Bhride,Low
RES/R/1128066,Loch Mhichie,Low
RES/R/1128020,Loch Mhor,High
RES/R/1128305,Loch Middle,High
RES/R/1127939,Loch Minnoch,High
RES/R/1128187,Loch Monaghan,High
RES/R/1128067,Loch Mor,High
RES/R/1127909,Loch Mor An Stairr,High
RES/R/1128068,Loch More,High
RES/R/1128369,Loch Morie,High
RES/R/1128069,Loch Muidhe,High
RES/R/1128070,Loch Na Beinne Moire,High
RES/R/1128427,Loch Na Bo,High
RES/R/1127864,Loch Na Bric,Medium
RES/R/1128071,Loch Na Claise Carnaich,High
RES/R/1128072,Loch Na Crann,High
RES/R/1127865,Loch Na Creige Crainde,Medium
RES/R/1127910,Loch Na Creige Fraoich,Medium
RES/R/1127866,Loch Na Faoilinn,High
RES/R/1127911,Loch Na Geireann,High
RES/R/1128073,Loch Na Hearba East,Low
RES/R/1128074,Loch Na Hearba West,Low
RES/R/1128075,Loch na H'Imriche,Medium
RES/R/1128076,Loch na Maoile,High
RES/R/1128077,Loch Na Smeoraich,High
RES/R/1127867,Loch Na Sreinge,High
RES/R/1128370,Loch Nam Ban,High
RES/R/1128371,Loch nam Bonnach,High
RES/R/1128372,Loch Nam Breac,Medium
RES/R/1127868,Loch Nam Breac Buidhe,High
RES/R/1127912,Loch Nam Fiasgan,Low
RES/R/1128485,Loch Nam Paitean,High
RES/R/1127913,Loch Nan Deaspoirt,Low
RES/R/1128373,Loch Nan Eun,High
RES/R/1127869,Loch Nan Torran,High
RES/R/1128430,Loch Neaty,High
RES/R/1128374,Loch of Aboyne,High
RES/R/1128160,Loch of Boardhouse,High
RES/R/1148036,Loch of Brough (Bressay),Medium
RES/R/1128375,Loch of Fyvie,High
RES/R/1128161,Loch of Kirbister,High
RES/R/1128162,Loch of Saintear Reservoir,High
RES/R/1128431,Loch of Skene,High
RES/R/1128078,Loch of Yarrows,High
RES/R/1128019,Loch Oich Reservoir,High
RES/R/1127914,Loch Oichean,Medium
RES/R/1127915,Loch Orasay,High
RES/R/1128188,Loch Ordie,High
RES/R/1128376,Loch Ospisdale,Medium
RES/R/1128079,Loch Phoneis,High
RES/R/1128081,Loch Poll,Medium
RES/R/1128080,Loch Poll An Droighinn,High
RES/R/1128189,Loch Rannoch Reservoir,High
RES/R/1128238,Loch Riecawr,Low
RES/R/1127870,Loch Righeachan,High
RES/R/1128130,Loch Romach,High
RES/R/1128277,Loch Rusky,High
RES/R/1128432,Loch Sainn,High
RES/R/1128433,Loch Saird,High
RES/R/1128377,Loch Saugh,High
RES/R/1128478,Loch Scadavay,High
RES/R/1128378,Loch Shandra,High
RES/R/1128083,Loch Sheilah,High
RES/R/1128084,Loch Shin Reservoir,High
RES/R/1128085,Loch Shurrery,High
RES/R/1128082,Loch Sionascaig,Medium
RES/R/1128434,Loch Skerrols,High
RES/R/1128086,Loch Sligneach,Medium
RES/R/1127871,Loch Sloy,High
RES/R/1127916,Loch Smalag,Low
RES/R/1128239,Loch Spallander,High
RES/R/1128379,Loch Spouts,High
RES/R/1128380,Loch Spynie,Medium
RES/R/1128382,Loch Suirstavat,Low
RES/R/1128087,Loch Tarff,Medium
RES/R/1139066,Loch Tearnait,High
RES/R/1128118,Loch Thom,High
RES/R/1128088,Loch Torr Na H'Eigin,Low
RES/R/1128089,Loch Torr Nan Uidhean Res.,Low
RES/R/1127872,Loch Tralaig,High
RES/R/1127918,Loch Trealaval,High
RES/R/1128383,Loch Treig,High
RES/R/1128170,Loch Tummel,High
RES/R/1128436,Loch Turamin (New Loch),High
RES/R/1128190,Loch Turret Reservoir,High
RES/R/1128384,Loch Uamasbroc,Low
RES/R/1128437,Loch Udromul,High
RES/R/1127873,Loch Uigeadail,Medium
RES/R/1128090,Loch Uisge,High
RES/R/1128385,Loch Urrahag,Low
RES/R/1128091,Loch Ussie,High
RES/R/1127919,Loch Valtos,Low
RES/R/1128278,Loch Vernacher,High
RES/R/1128438,Loch Walton (Lower),High
RES/R/1128439,Loch Walton (Upper),High
RES/R/1128386,Loch Watten,High
RES/R/1127940,Loch Whinyeon,High
RES/R/1128092,Lochalsh Lower Reservoir,High
RES/R/1128279,Lochan A Ghleannain,High
RES/R/1127874,Lochan A' Ghurrabain,Low
RES/R/1128191,Lochan A'Mhuilinn,High
RES/R/1128093,Lochan Daraich,Low
RES/R/1127875,Lochan Duin,High
RES/R/1128387,Lochan Ghlas,Low
RES/R/1128482,Lochan Gleann Astaile,Low
